Die1 Die2 Total
5 4 9
6 5 11
2 3 5
4 1 5
4 3 7
4 4 8
4 2 6
2 6 8
2 1 3
2 4 6
2 6 8
3 4 7
3 6 9
4 4 8
3 6 9
1 4 5
2 3 5
3 4 7
4 5 9
4 4 8
5 4 9
3 3 6
5 2 7
2 3 5
1 3 4
6 2 8
1 1 2
5 3 8
3 4 7
1 2 3
3 5 8
3 5 8
3 5 8
2 5 7
6 2 8
4 6 10
2 4 6
2 5 7
2 6 8
1 6 7
3 2 5
2 6 8
6 6 12
2 4 6
5 4 9
2 4 6
1 4 5
6 3 9
4 1 5
6 5 11
6 5 11
5 4 9
1 3 4
4 3 7
5 2 7
2 4 6
1 3 4
2 1 3
1 6 7
2 2 4
2 2 4
5 5 10
4 2 6
1 1 2
1 3 4
3 2 5
2 5 7
4 6 10
3 4 7
5 4 9
3 1 4
5 2 7
1 5 6
2 1 3
1 3 4
3 5 8
6 4 10
5 2 7
1 3 4
2 5 7
5 3 8
5 2 7
2 1 3
4 5 9
5 4 9
2 5 7
3 2 5
3 1 4
6 6 12
4 4 8
3 2 5
2 6 8
5 1 6
4 3 7
3 3 6
3 6 9
4 4 8
2 2 4
3 3 6
5 2 7
